question,answer
34 * (21 + 16),1258
82 - 2 * 83,-84
86 + 95 * 44,4266
18 * 78 * 93,130572
94 + 99 + 22,215
67 * 93 + 9,6240
62 - 73 * 24,-1690
22 * 78 * 49,84084
52 + 94 * 15,1462
95 + 56 - 55,96
42 * (90 + 79),7098
(87 + 79) * 10,1660
96 * 98 * 81,762048
9 + 39 + 42,90
(17 + 9) * 1,26
33 * 87 + 66,2937
15 + 90 * 93,8385
66 * (61 + 60),7986
33 * 75 + 40,2515
32 - 78 - 47,-93
23 * (90 + 34),2852
11 + 46 * 63,2909
81 * (53 + 89),11502
52 + 66 - 19,99
65 * 49 * 27,85995
14 + 46 * 65,3004
81 * 15 + 88,1303
(3 + 92) * 38,3610
34 - 74 * 29,-2112
57 + 83 + 28,168
88 + 23 - 26,85
6 * 26 + 49,205
95 + 86 - 83,98
70 + 21 + 84,175
38 + 18 + 53,109
49 + 8 + 43,100
25 * (64 + 55),2975
94 + 93 * 68,6418
43 + 74 * 1,117
24 - 38 * 96,-3624
47 + 39 + 27,113
26 * 91 + 73,2439
68 + 80 + 15,163
(30 + 90) * 93,11160
(93 + 96) * 17,3213
89 * 36 * 43,137772
86 + 95 * 55,5311
79 - 14 - 45,20
49 * 73 * 9,32193
86 * (70 + 16),7396
51 * (94 + 92),9486
78 * (62 + 84),11388
44 + 55 + 85,184
48 + 5 * 1,53
11 + 69 + 63,143
59 - 6 - 59,-6
35 - 50 - 36,-51
27 * 2 * 54,2916
97 + 20 * 9,277
(30 + 7) * 75,2775
87 - 5 * 94,-383
90 * (73 + 79),13680
67 - 26 - 35,6
16 - 19 * 28,-516
16 - 90 * 7,-614
60 * (73 + 59),7920
37 + 44 - 63,18
65 + 58 * 23,1399
18 * 23 * 7,2898
85 * (80 + 31),9435
56 * 14 + 14,798
95 * 97 * 21,193515
41 - 89 * 89,-7880
81 * (65 + 61),10206
27 * 91 * 29,71253
(68 + 0) * 48,3264
34 * 0 * 38,0
35 + 89 + 34,158
52 + 77 * 32,2516
15 - 77 - 43,-105
25 + 86 * 98,8453
27 * 20 * 78,42120
29 + 25 * 78,1979
41 * 72 * 93,274536
58 - 81 - 95,-118
1 - 5 * 7,-34
56 * (2 + 76),4368
17 + 59 + 74,150
80 * (96 + 59),12400
98 * 68 + 37,6701
75 * 49 + 27,3702
97 + 83 + 76,256
69 * (46 + 44),6210
51 * 34 * 20,34680
18 + 44 - 24,38
21 + 41 * 67,2768
32 + 12 + 56,100
19 * 61 * 95,110105
52 + 54 * 27,1510
45 * 39 * 60,105300
30 + 88 - 85,33
65 * 51 * 2,6630
57 + 97 + 62,216
48 + 59 - 59,48
79 + 0 - 45,34
59 - 79 - 68,-88
(33 + 87) * 69,8280
71 * (41 + 4),3195
77 * 72 * 29,160776
20 * (81 + 90),3420
(86 + 76) * 58,9396
16 * (14 + 27),656
26 + 38 - 44,20
4 + 39 * 46,1798
5 * 40 * 48,9600
96 * (72 + 86),15168
50 * 9 * 95,42750
29 * 72 + 58,2146
94 * (33 + 37),6580
54 * 31 * 84,140616
(99 + 12) * 12,1332
36 * 65 + 89,2429
1 * 90 + 5,95
71 - 30 * 16,-409
98 - 59 - 44,-5
30 + 76 * 75,5730
12 - 77 * 24,-1836
62 + 81 + 28,171
24 + 92 * 71,6556
9 * (53 + 45),882
76 + 75 * 4,376
94 * (38 + 65),9682
66 * (21 + 51),4752
65 - 53 - 45,-33
35 + 90 + 72,197
1 - 83 - 66,-148
80 + 67 + 18,165
40 * 59 * 94,221840
(94 + 39) * 47,6251
85 - 7 * 91,-552
51 - 79 * 73,-5716
20 + 56 + 92,168
95 + 43 - 22,116
27 * (16 + 65),2187
60 * (89 + 86),10500
19 * (22 + 54),1444
14 * 42 + 30,618
85 * (24 + 49),6205
21 + 59 * 10,611
90 - 26 - 41,23
71 + 9 * 56,575
12 * 72 + 19,883
43 - 88 * 17,-1453
33 + 53 - 59,27
51 + 3 - 53,1
15 + 29 * 61,1784
19 + 65 + 32,116
62 - 57 - 10,-5
8 - 52 * 62,-3216
80 * 94 * 65,488800
17 * (79 + 7),1462
(87 + 48) * 21,2835
51 * (59 + 31),4590
59 + 95 - 34,120
95 + 59 + 37,191
88 - 33 - 69,-14
94 * 18 * 49,82908
54 - 5 * 38,-136
72 * 59 + 16,4264
54 - 13 - 92,-51
28 * 48 + 29,1373
29 * (63 + 93),4524
(56 + 74) * 34,4420
47 - 21 * 64,-1297
72 * 31 + 4,2236
25 * 36 + 11,911
33 - 86 * 97,-8309
63 * 62 + 1,3907
96 + 8 - 36,68
(48 + 58) * 56,5936
63 * 88 * 62,343728
38 + 46 * 37,1740
35 - 32 * 90,-2845
15 - 97 * 47,-4544
37 * (75 + 77),5624
27 + 67 + 38,132
21 * (58 + 99),3297
22 * (28 + 14),924
52 * 15 + 34,814
15 - 15 * 28,-405
36 - 38 * 81,-3042
28 + 38 - 37,29
92 - 54 - 25,13
25 * 90 * 15,33750
13 * 21 + 44,317
22 * 73 + 74,1680
85 * 36 * 53,162180
25 + 57 + 17,99
13 + 98 * 72,7069
62 * (92 + 27),7378
90 + 85 - 85,90
62 * 92 * 15,85560
0 * 95 + 38,38
7 * (88 + 62),1050
59 + 36 + 28,123
92 * 2 + 34,218
95 + 44 - 4,135
(8 + 64) * 99,7128
11 - 34 * 14,-465
73 * 61 * 35,155855
91 - 14 * 17,-147
57 - 53 - 22,-18
82 + 25 + 2,109
59 * 89 + 77,5328
(96 + 42) * 76,10488
4 + 21 + 19,44
91 + 57 * 42,2485
17 + 55 + 23,95
93 + 30 - 70,53
98 * 80 + 57,7897
83 + 80 + 0,163
(94 + 64) * 36,5688
20 + 36 - 68,-12
51 * 62 * 77,243474
71 * (5 + 23),1988
87 * 82 + 51,7185
16 - 44 - 28,-56
33 + 44 - 44,33
95 * (30 + 5),3325
(69 + 4) * 59,4307
3 + 43 + 54,100
22 - 45 - 97,-120
40 - 25 * 15,-335
30 - 45 * 62,-2760
6 * (77 + 31),648
67 - 17 - 89,-39
94 + 51 * 68,3562
53 + 82 * 9,791
(68 + 15) * 48,3984
59 + 44 + 81,184
18 * (63 + 16),1422
41 + 99 + 26,166
(52 + 74) * 66,8316
20 * 18 + 66,426
23 + 76 - 17,82
37 - 81 * 54,-4337
9 - 49 - 43,-83
61 * (90 + 34),7564
(2 + 81) * 78,6474
62 * (27 + 55),5084
77 * 81 * 19,118503
94 * (50 + 12),5828
16 * (1 + 75),1216
83 * 84 + 66,7038
24 * 26 + 14,638
2 - 77 * 51,-3925
68 + 80 - 16,132
23 * 80 + 27,1867
5 * 48 + 34,274
9 + 74 + 30,113
66 - 36 - 72,-42
91 + 6 + 76,173
1 + 96 * 60,5761
86 * (23 + 19),3612
89 * 35 * 77,239855
41 * 4 * 83,13612
52 + 67 + 89,208
(22 + 0) * 65,1430
87 * (22 + 11),2871
53 - 19 * 7,-80
20 + 68 * 56,3828
82 - 13 * 50,-568
32 * 55 + 54,1814
38 * (53 + 59),4256
99 - 31 * 19,-490
92 - 16 * 61,-884
23 * 61 + 55,1458
31 + 12 - 59,-16
15 - 54 * 15,-795
9 * 86 * 8,6192
61 * (14 + 35),2989
67 + 88 - 36,119
(10 + 19) * 55,1595
23 * 49 + 94,1221
(41 + 59) * 45,4500
(78 + 17) * 37,3515
(85 + 10) * 23,2185
94 * (91 + 94),17390
82 * (23 + 63),7052
46 + 68 + 26,140
(39 + 25) * 82,5248
48 - 8 - 64,-24
55 - 69 * 66,-4499
3 + 69 - 99,-27
49 * (47 + 90),6713
72 + 95 - 26,141
44 + 57 * 61,3521
(62 + 40) * 62,6324
42 * 9 + 93,471
83 + 45 * 84,3863
44 + 4 - 82,-34
59 * 34 * 66,132396
2 - 27 - 37,-62
16 * 64 + 43,1067
55 * 26 * 0,0
29 + 49 * 29,1450
1 - 73 * 0,1
87 - 17 * 34,-491
85 - 59 - 61,-35
43 * 46 + 51,2029
66 * 94 + 1,6205
(41 + 80) * 58,7018
71 + 76 * 2,223
90 * 23 + 32,2102
97 + 64 - 50,111
